,mean,std
0,0.5069736899804134,0.16161648095626624
1,0.4983455891095547,0.1620543794576955
2,0.49439774802337344,0.16087996922691195
3,0.5036597384500131,0.16115670884655703
4,0.49723225904138163,0.1613796328736843
5,0.5013496452715945,0.1605951051365687
6,0.5015181095760308,0.15958463728030045
7,0.5141906038585404,0.16129666771679602
8,0.5177020917650417,0.15714445907773483
9,0.49718508281373336,0.16299933786858656
10,0.4962874322121036,0.15880961979223254
11,0.5179651916522097,0.1604524823191784
12,0.4987612682320938,0.15931988930159605
13,0.5045039581447099,0.15828551745396297
